year,bcg_mtrnoint,tic,sic
1992,0.175032381,ARXX,3825
1993,0.256963073,ARXX,3825
1994,0.29990758,ARXX,3825
1995,0.319096296,ARXX,3825
1996,0.306823337,ARXX,3825
1997,0.323764701,ARXX,3825
1998,0.333125303,ARXX,3825
1999,0.331004302,ARXX,3825
2000,0.339271047,ARXX,3825
1986,0.436479265,4328B,3089
1987,0.421484802,4328B,3089
1988,0.46,4328B,3089
1989,0.292754068,4328B,3089
1990,0.255147089,4328B,3089
1991,0.133428496,4328B,3089
1992,0.074751754,4328B,3089
1986,0.017416889,7200B,3663
1987,0.069028246,7200B,3663
1988,0.097126966,7200B,3663
1989,0.010287088,7200B,3663
1990,0.002821758,7200B,3663
1986,0.21038164,1195B,7900
1986,0.426737968,AVX,3670
1987,0.372435859,AVX,3670
1988,0.34,AVX,3670
1989,0.334781159,AVX,3670
1996,0.35,AVX,3670
1997,0.329,AVX,3670
1998,0.345916083,AVX,3670
1999,0.338071047,AVX,3670
2000,0.35,AVX,3670
1986,0.4774,3AWCSA,7373
1987,0.39079617,3AWCSA,7373
1988,0.085325583,3AWCSA,7373
1989,0.46,3AWCSA,7373
1990,0.151339396,3AWCSA,7373
1991,0.3362,3AWCSA,7373
1992,0.314113378,3AWCSA,7373
1993,0.296098749,3AWCSA,7373
1994,0.34,3AWCSA,7373
1995,0.34,3AWCSA,7373
1996,0.097903395,3AWCSA,7373
1997,0.10994347,3AWCSA,7373
1986,0.45839916,PNW,4911
1987,0.396452914,PNW,4911
1988,0.336158223,PNW,4911
1989,0.4,PNW,4911
1990,0.335706223,PNW,4911
1991,0.34,PNW,4911
1992,0.326682127,PNW,4911
1993,0.348875931,PNW,4911
1994,0.35,PNW,4911
1995,0.35,PNW,4911
1996,0.35,PNW,4911
1997,0.35,PNW,4911
1998,0.35,PNW,4911
1999,0.35,PNW,4911
2000,0.35,PNW,4911
1986,0.459174295,PRG,6141
1987,0.392,PRG,6141
1988,0.336145578,PRG,6141
1989,0.339414018,PRG,6141
1990,0.34,PRG,6141
1991,0.3332,PRG,6141
1992,0.34,PRG,6141
1993,0.346798618,PRG,6141
1994,0.347276928,PRG,6141
1995,0.3496,PRG,6141
1996,0.35,PRG,6141
1997,0.3498,PRG,6141
1998,0.35,PRG,6141
1999,0.3506,PRG,6141
2000,0.338739232,PRG,6141
1986,0.459119016,ABT,3845
1987,0.396172668,ABT,3845
1988,0.34,ABT,3845
1989,0.34,ABT,3845
1990,0.34,ABT,3845
1991,0.34,ABT,3845
1992,0.34,ABT,3845
1993,0.35,ABT,3845
1994,0.349535338,ABT,3845
1995,0.35,ABT,3845
1996,0.343,ABT,3845
1997,0.35,ABT,3845
1998,0.35,ABT,3845
1999,0.33932565,ABT,3845
2000,0.35,ABT,3845
1986,0.431552247,SERV.1,8700
1987,0.385957946,SERV.1,8700
1988,0.334766634,SERV.1,8700
1989,0.328334303,SERV.1,8700
1990,0.333121657,SERV.1,8700
1991,0.329749552,SERV.1,8700
1992,0.327096425,SERV.1,8700
1993,0.338339534,SERV.1,8700
1994,0.315106795,SERV.1,8700
1995,0.331961928,SERV.1,8700
1996,0.326906031,SERV.1,8700
1997,0.325287641,SERV.1,8700
1998,0.330769581,SERV.1,8700
1999,0.31268668,SERV.1,8700
2000,0.318152098,SERV.1,8700
1986,0.049116161,3ACAJC,5600
1987,0.074749151,3ACAJC,5600
1988,0.058012945,3ACAJC,5600
1989,0.018106124,3ACAJC,5600
1990,0.018106124,3ACAJC,5600
1991,0.022747026,3ACAJC,5600
1986,0.150818018,WDDD,7370
1987,0.126751281,WDDD,7370
1988,0.139014492,WDDD,7370
1989,0.141684027,WDDD,7370
1990,0.130688977,WDDD,7370
1991,0.145667312,WDDD,7370
1992,0.146745188,WDDD,7370
1993,0.116097718,WDDD,7370
1994,0.127931558,WDDD,7370
1995,0.142285596,WDDD,7370
1996,0.140412062,WDDD,7370
1997,0.276958776,WDDD,7370
1998,0.105938406,WDDD,7370
1999,0.105049064,WDDD,7370
2000,0.080629404,WDDD,7370
1986,0.13720085,3AMETE,4955
1987,0.319092591,3AMETE,4955
1988,0.281128162,3AMETE,4955
1989,0.338067472,3AMETE,4955
1990,0.312372034,3AMETE,4955
1991,0.284462167,3AMETE,4955
1992,0.286379904,3AMETE,4955
1993,0.260077341,3AMETE,4955
1994,0.228478153,3AMETE,4955
1995,0.34,3AMETE,4955
1996,0.273386651,3AMETE,4955
1986,0.331292018,1416B,7370
1987,0.309465574,1416B,7370
1988,0.081870241,1416B,7370
1989,0.071889823,1416B,7370
1990,0.084819166,1416B,7370
1991,0.09224535,1416B,7370
1992,0.102647821,1416B,7370
1993,0.086138232,1416B,7370
1994,0.137621935,1416B,7370
1995,0.151559375,1416B,7370
1996,0.179700153,1416B,7370
1997,0.165656891,1416B,7370
1986,0.46,ACO.2,2780
1986,0.4416,ACETQ,5160
1987,0.430592473,ACETQ,5160
1988,0.382977077,ACETQ,5160
1989,0.330877296,ACETQ,5160
1990,0.3264,ACETQ,5160
1991,0.332119562,ACETQ,5160
1992,0.3128,ACETQ,5160
1993,0.322937932,ACETQ,5160
1994,0.30432712,ACETQ,5160
1995,0.331871645,ACETQ,5160
1996,0.332919258,ACETQ,5160
1997,0.310117998,ACETQ,5160
1998,0.32483599,ACETQ,5160
1999,0.330983033,ACETQ,5160
2000,0.320541223,ACETQ,5160
1986,0.427647574,AK,4833
1987,0.373719696,AK,4833
1988,0.336173238,AK,4833
1989,0.332602682,AK,4833
1990,0.3264,AK,4833
1991,0.34,AK,4833
1992,0.338733741,AK,4833
1993,0.346314721,AK,4833
1994,0.327709282,AK,4833
1995,0.339504751,AK,4833
1996,0.327725011,AK,4833
1997,0.35,AK,4833
1998,0.315006397,AK,4833
1999,0.319858077,AK,4833
2000,0.32597079,AK,4833
1986,0.387135885,ACMTA,6351
1987,0.372452914,ACMTA,6351
1988,0.313046004,ACMTA,6351
1989,0.324212534,ACMTA,6351
1990,0.333948301,ACMTA,6351
1991,0.329220022,ACMTA,6351
1992,0.339539735,ACMTA,6351
1993,0.328761952,ACMTA,6351
1994,0.3453028,ACMTA,6351
1995,0.347703691,ACMTA,6351
1996,0.347245283,ACMTA,6351
1997,0.315412971,ACMTA,6351
1998,0.313221385,ACMTA,6351
1999,0.29024875,ACMTA,6351
2000,0.307306338,ACMTA,6351
1986,0.275389656,AMT.1,3661
1987,0.366966362,AMT.1,3661
1988,0.249165259,AMT.1,3661
1989,0.282078638,AMT.1,3661
1990,0.321306173,AMT.1,3661
1991,0.275142929,AMT.1,3661
1992,0.299893552,AMT.1,3661
1993,0.311672032,AMT.1,3661
1994,0.210444404,AMT.1,3661
1995,0.3218,AMT.1,3661
1986,0.426811763,ACEE,3612
1987,0.398285001,ACEE,3612
1988,0.374588042,ACEE,3612
1989,0.331619022,ACEE,3612
1990,0.328685721,ACEE,3612
1991,0.323882095,ACEE,3612
1992,0.34,ACEE,3612
1993,0.291928141,ACEE,3612
1994,0.291821004,ACEE,3612
1995,0.300905582,ACEE,3612
1996,0.307077782,ACEE,3612
1997,0.283603346,ACEE,3612
1998,0.296739365,ACEE,3612
1999,0.281036393,ACEE,3612
2000,0.277214171,ACEE,3612
1986,0.405815259,5848B,3559
1987,0.402717546,5848B,3559
1988,0.257788763,5848B,3559
1986,0.296313552,ACU,3420
1987,0.319983868,ACU,3420
1988,0.285818829,ACU,3420
1989,0.31498845,ACU,3420
1990,0.306413064,ACU,3420
1991,0.305050987,ACU,3420
1992,0.293229043,ACU,3420
1993,0.287020943,ACU,3420
1994,0.289306235,ACU,3420
1995,0.178782013,ACU,3420
1996,0.209016666,ACU,3420
1997,0.275037378,ACU,3420
1998,0.248642779,ACU,3420
1999,0.285629155,ACU,3420
2000,0.296097869,ACU,3420
1986,0.407320648,2675B,5070
1987,0.334250885,2675B,5070
1988,0.319806154,2675B,5070
1989,0.297266734,2675B,5070
1990,0.289753734,2675B,5070
1991,0.293476113,2675B,5070
1992,0.289387262,2675B,5070
1993,0.332504837,2675B,5070
1994,0.348396532,2675B,5070
1995,0.341892365,2675B,5070
1996,0.3358,2675B,5070
1997,0.342015846,2675B,5070
1998,0.331314675,2675B,5070
1999,0.33932565,2675B,5070
2000,0.339004454,2675B,5070
1986,0.449973532,PRHD,5020
1987,0.46,PRHD,5020
1988,0.383812173,PRHD,5020
1989,0.325088245,PRHD,5020
1990,0.4,PRHD,5020
1991,0.256888982,PRHD,5020
1992,0.31493184,PRHD,5020
1993,0.147042386,PRHD,5020
1994,0.236214507,PRHD,5020
1995,0.191813621,PRHD,5020
1996,0.126420524,PRHD,5020
1997,0.12600516,PRHD,5020
1986,0.318370718,AHIXD,3944
1987,0.283462043,AHIXD,3944
1988,0.266608847,AHIXD,3944
1989,0.379771913,AHIXD,3944
1990,0.425,AHIXD,3944
1991,0.228178473,AHIXD,3944
1992,0.165825951,AHIXD,3944
1993,0.234101155,AHIXD,3944
1994,0.155552761,AHIXD,3944
1995,0.236826111,AHIXD,3944
1996,0.14762015,AHIXD,3944
1997,0.148827552,AHIXD,3944
1998,0.233428624,AHIXD,3944
1999,0.286732295,AHIXD,3944
2000,0.255718743,AHIXD,3944
1986,0.082567145,ATVI.1,7372
1987,0.196092583,ATVI.1,7372
1988,0.183767539,ATVI.1,7372
1989,0.085446756,ATVI.1,7372
1990,0.016122509,ATVI.1,7372
1991,0.019468335,ATVI.1,7372
1992,0.038670159,ATVI.1,7372
1993,0.104593706,ATVI.1,7372
1994,0.12079829,ATVI.1,7372
1995,0.221593964,ATVI.1,7372
1996,0.284188985,ATVI.1,7372
1997,0.293802761,ATVI.1,7372
1998,0.36566712,ATVI.1,7372
1999,0.319172285,ATVI.1,7372
2000,0.341916995,ATVI.1,7372
1986,0.431436004,ACTM.,7310
1987,0.373703889,ACTM.,7310
1988,0.32089884,ACTM.,7310
1986,0.228876412,ATN.1,4841
1987,0.4,ATN.1,4841
1986,0.069013362,ADAC.,3844
1987,0.192947181,ADAC.,3844
1988,0.281290893,ADAC.,3844
1989,0.294588521,ADAC.,3844
1990,0.198050669,ADAC.,3844
1991,0.237391643,ADAC.,3844
1992,0.316054086,ADAC.,3844
1993,0.330766854,ADAC.,3844
1994,0.35,ADAC.,3844
1995,0.314124433,ADAC.,3844
1996,0.298908776,ADAC.,3844
1997,0.319847141,ADAC.,3844
1998,0.3436,ADAC.,3844
1999,0.3792,ADAC.,3844
2000,0.35,ADAC.,3844
1986,0.258849021,ADAI20,3442
1987,0.199603361,ADAI20,3442
1988,0.23084718,ADAI20,3442
1989,0.287087269,ADAI20,3442
1990,0.163626064,ADAI20,3442
1986,0.212738946,BKTI,3663
1987,0.120550969,BKTI,3663
1988,0.132094191,BKTI,3663
1989,0.100824894,BKTI,3663
1990,0.184537749,BKTI,3663
1991,0.182792615,BKTI,3663
1992,0.141304512,BKTI,3663
1993,0.237688147,BKTI,3663
1994,0.20096956,BKTI,3663
1995,0.205079262,BKTI,3663
1996,0.181032476,BKTI,3663
1997,0.086616389,BKTI,3663
1998,0.123640594,BKTI,3663
1999,0.105714417,BKTI,3663
2000,0.112078716,BKTI,3663
1986,0.432368359,ALL.2,2250
1987,0.38513148,ALL.2,2250
1986,0.362885848,AE,5172
1987,0.374073087,AE,5172
1988,0.284179517,AE,5172
1989,0.302973413,AE,5172
1990,0.27797172,AE,5172
1991,0.272716364,AE,5172
1992,0.312494786,AE,5172
1993,0.279783597,AE,5172
1994,0.281236408,AE,5172
1995,0.277553378,AE,5172
1996,0.306344856,AE,5172
1997,0.261686204,AE,5172
1998,0.303375476,AE,5172
1999,0.2925985,AE,5172
2000,0.319403488,AE,5172
1986,0.434369381,AAR.1,4841
1986,0.432235636,ADSNB,2731
1986,0.052021049,4304B,6794
1987,0.016190793,4304B,6794
1988,0.029162474,4304B,6794
1989,0.033198472,4304B,6794
1990,0.056243073,4304B,6794
1986,0.154452543,ADDC,3578
1987,0.114485028,ADDC,3578
1988,0.133024949,ADDC,3578
1986,0.455086446,ADIA.,7363
1987,0.392,ADIA.,7363
1988,0.33224104,ADIA.,7363
1989,0.3332,ADIA.,7363
1990,0.335837157,ADIA.,7363
1991,0.3332,ADIA.,7363
1992,0.339539735,ADIA.,7363
1993,0.3506,ADIA.,7363
1986,0.085045077,5710B,3572
1987,0.007903566,5710B,3572
1986,0.409181394,ADVC.,3672
1987,0.354558842,ADVC.,3672
1988,0.46,ADVC.,3672
1989,0.319487406,ADVC.,3672
1990,0.34,ADVC.,3672
1991,0.3264,ADVC.,3672
1992,0.330018878,ADVC.,3672
1993,0.330634698,ADVC.,3672
1994,0.331108084,ADVC.,3672
1986,0.069344639,5022B,3661
1986,0.44046045,AVCD,7373
1987,0.33118834,AVCD,7373
1988,0.327850622,AVCD,7373
1989,0.259002073,AVCD,7373
1990,0.271225249,AVCD,7373
1991,0.30694044,AVCD,7373
1992,0.279064085,AVCD,7373
1986,0.061099162,5119B,4953
1987,0.023317246,5119B,4953
1988,0.066418752,5119B,4953
1989,0.088566825,5119B,4953
1990,0.04365415,5119B,4953
1986,0.028904129,3AVEG,1381
1987,0.037228177,3AVEG,1381
1988,0.035321404,3AVEG,1381
1986,0.419010587,ASY.2,7812
1986,0.39679077,AUNL,2750
1986,0.426596416,ADV.2,6211
1987,0.439554888,ADV.2,6211
1988,0.389233059,ADV.2,6211
1989,0.331500969,ADV.2,6211
1990,0.46,ADV.2,6211
1991,0.4,ADV.2,6211
1992,0.301510012,ADV.2,6211
1993,0.32527235,ADV.2,6211
1994,0.314849881,ADV.2,6211
1995,0.335947265,ADV.2,6211
1996,0.321013,ADV.2,6211
1997,0.322695654,ADV.2,6211
1998,0.339807536,ADV.2,6211
1999,0.340159248,ADV.2,6211
2000,0.337580636,ADV.2,6211
1986,0.389036994,AQTN,3842
1987,0.335196711,AQTN,3842
1988,0.46,AQTN,3842
1989,0.305846058,AQTN,3842
1990,0.306474945,AQTN,3842
1991,0.306891115,AQTN,3842
1992,0.299147764,AQTN,3842
1993,0.270378799,AQTN,3842
1994,0.292988934,AQTN,3842
1995,0.310867446,AQTN,3842
1986,0.46,AERS.,8711
1987,0.350031452,AERS.,8711
1988,0.31077283,AERS.,8711
1989,0.32118064,AERS.,8711
1990,0.318310558,AERS.,8711
1991,0.358721474,AERS.,8711
1992,0.251916965,AERS.,8711
1993,0.268255837,AERS.,8711
1994,0.259494035,AERS.,8711
1995,0.261217539,AERS.,8711
1996,0.205971181,AERS.,8711
1997,0.220953487,AERS.,8711
1998,0.259660766,AERS.,8711
1999,0.246639241,AERS.,8711
2000,0.254286982,AERS.,8711
1986,0.373428074,AESM,5080
1987,0.352288944,AESM,5080
1988,0.293587818,AESM,5080
1989,0.27732189,AESM,5080
1990,0.291030734,AESM,5080
1991,0.285918754,AESM,5080
1986,0.4508,AMD,3674
1987,0.46,AMD,3674
1988,0.3332,AMD,3674
1989,0.332287623,AMD,3674
1990,0.307633676,AMD,3674
1991,0.334387929,AMD,3674
1992,0.34,AMD,3674
1993,0.35,AMD,3674
1994,0.35,AMD,3674
1995,0.347200003,AMD,3674
1996,0.35,AMD,3674
1997,0.330557729,AMD,3674
1998,0.35,AMD,3674
1999,0.199253703,AMD,3674
2000,0.341100516,AMD,3674
1986,0.077888613,3ADNME,1389
1987,0.10481884,3ADNME,1389
1988,0.084785659,3ADNME,1389
1989,0.093659951,3ADNME,1389
1990,0.047271431,3ADNME,1389
1991,0.079459759,3ADNME,1389
1992,0.009638133,3ADNME,1389
1993,0.044241234,3ADNME,1389
1986,0.114872049,MCIP,4813
1987,0.280568206,MCIP,4813
1988,0.251162622,MCIP,4813
1989,0.321829812,MCIP,4813
1990,0.329071571,MCIP,4813
1991,0.33039947,MCIP,4813
1992,0.332739735,MCIP,4813
1993,0.343,MCIP,4813
1994,0.346873591,MCIP,4813
1995,0.349110644,MCIP,4813
1996,0.299892501,MCIP,4813
1997,0.253688273,MCIP,4813
1998,0.268745507,MCIP,4813
1999,0.273344853,MCIP,4813
2000,0.291318272,MCIP,4813
1986,0.19,BFTC,9995
1987,0.188702177,BFTC,9995
1988,0.278581985,BFTC,9995
1989,0.242297809,BFTC,9995
1990,0.14287255,BFTC,9995
1991,0.101965684,BFTC,9995
1992,0.09056798,BFTC,9995
1993,0.103273856,BFTC,9995
1994,0.138406665,BFTC,9995
1995,0.103607273,BFTC,9995
1996,0.124429737,BFTC,9995
1997,0.138430737,BFTC,9995
1998,0.34,BFTC,9995
1999,0.059185588,BFTC,9995
2000,0.34,BFTC,9995
1986,0.46,4092B,3080
1987,0.117734955,4092B,3080
1988,0.043740825,4092B,3080
1986,0.035152245,AGSI.,2890
1987,0.054241172,AGSI.,2890
1986,0.460174295,ATEL.1,4813
1987,0.385717247,ATEL.1,4813
1988,0.332078533,ATEL.1,4813
1989,0.338242054,ATEL.1,4813
1990,0.34,ATEL.1,4813
1991,0.34,ATEL.1,4813
1986,0.249260858,AIM.1,3812
1987,0.194155116,AIM.1,3812
1988,0.242380907,AIM.1,3812
1989,0.267040344,AIM.1,3812
1990,0.260871455,AIM.1,3812
1991,0.294097202,AIM.1,3812
1992,0.259948355,AIM.1,3812
1993,0.283855564,AIM.1,3812
1994,0.262919149,AIM.1,3812
1995,0.34,AIM.1,3812
1996,0.34,AIM.1,3812
1997,0.26714882,AIM.1,3812
1998,0.270423206,AIM.1,3812
1999,0.274722644,AIM.1,3812
2000,0.288096779,AIM.1,3812
1986,0.377653418,AET,6324
1987,0.371064416,AET,6324
1988,0.332279521,AET,6324
1989,0.325297115,AET,6324
1990,0.327316632,AET,6324
1991,0.315041288,AET,6324
1992,0.31993656,AET,6324
1993,0.322791488,AET,6324
1994,0.342535338,AET,6324
1995,0.336427845,AET,6324
1996,0.342540222,AET,6324
1997,0.321209606,AET,6324
1998,0.342619017,AET,6324
1999,0.336951408,AET,6324
2000,0.337274211,AET,6324
1986,0.46,AFP.1,2711
1987,0.4,AFP.1,2711
1988,0.46,AFP.1,2711
1989,0.332630631,AFP.1,2711
1990,0.34,AFP.1,2711
1991,0.33236363,AFP.1,2711
1992,0.33955514,AFP.1,2711
1986,0.436116021,IDAI.,4899
1987,0.378806331,IDAI.,4899
1988,0.34,IDAI.,4899
1989,0.34,IDAI.,4899
1990,0.34,IDAI.,4899
1991,0.332682336,IDAI.,4899
1992,0.3367826,IDAI.,4899
1993,0.35,IDAI.,4899
1994,0.342349206,IDAI.,4899
1995,0.3498,IDAI.,4899
